YEAR,MONTH,DAY,HOUR,CNT
2020,8,10,8,99
2020,8,10,8,99
2020,8,10,8,99
2020,8,10,8,99
2020,8,10,8,99
2020,8,10,9,61
2020,8,10,9,61
2020,8,10,9,61
2020,8,10,9,61
2020,8,10,9,61
2020,8,10,9,61
2020,8,10,9,61
2020,8,10,9,61
2020,8,10,9,61
2020,8,10,9,61
2020,8,10,9,61
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,11,32
2020,8,10,11,32
2020,8,10,11,32
2020,8,10,11,32
2020,8,10,11,32
2020,8,10,11,32
2020,8,10,12,60
2020,8,10,12,60
2020,8,10,12,60
2020,8,10,12,60
2020,8,10,12,60
2020,8,10,12,60
2020,8,10,12,60
2020,8,10,12,60
2020,8,10,12,60
2020,8,10,12,60
2020,8,10,12,60
2020,8,10,12,60
2020,8,10,12,60
2020,8,10,12,60
2020,8,10,12,60
2020,8,10,12,60
2020,8,10,12,60
2020,8,10,12,60
2020,8,10,12,60
2020,8,10,12,60
2020,8,10,13,44
2020,8,10,13,44
2020,8,10,14,63
2020,8,10,14,63
2020,8,10,14,63
2020,8,10,14,63
2020,8,10,14,63
2020,8,10,15,53
2020,8,10,15,53
2020,8,10,15,53
2020,8,10,15,53
2020,8,10,16,53
2020,8,10,16,53
2020,8,10,16,53
2020,8,10,8,99
2020,8,10,8,99
2020,8,10,8,99
2020,8,10,8,99
2020,8,10,8,99
2020,8,10,8,99
2020,8,10,8,99
2020,8,10,9,61
2020,8,10,9,61
2020,8,10,9,61
2020,8,10,9,61
2020,8,10,9,61
2020,8,10,9,61
2020,8,10,9,61
2020,8,10,9,61
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
2020,8,10,10,81
